person_id,movie_id
163441,13
240171,24
1336,79
1337,79
1338,79
1339,79
1340,79
1341,79
643,82
695,87
1339,146
1619,146
1624,146
1619,285
240171,393
52908,604
52908,605
20999,672
20999,673
20999,674
20999,675
20640,746
69033,746
20999,767
1337,843
1338,843
12466,843
1002925,843
1148003,843
643,844
1337,844
1338,844
1339,844
12672,844
1336,944
612216,944
643,1248
1339,1273
1339,1436
120725,1436
1619,1439
10885,1439
643,1494
1619,1494
20654,1494
69033,1499
1336,1729
18897,1729
52908,1729
1336,1735
66717,1735
643,1904
1339,1904
10885,1904
20999,1934
20519,1996
20652,2008
20654,2008
20655,2008
1336,2085
18897,2109
70690,2109
83689,2109
20654,2111
109809,2111
12466,2137
21908,2137
21910,2137
21911,2137
21914,2137
66717,2137
83631,2137
83689,2137
92833,2137
111298,2137
120725,2137
1336,2140
20999,2270
23838,2314
25246,2463
25249,2463
25251,2463
26726,2644
26728,2644
26739,2644
26744,2644
26760,2644
240177,2644
1201406,2644
26724,2645
26726,2645
26728,2645
26739,2645
26760,2645
239010,2645
240177,2645
26726,2646
26728,2646
26739,2646
116906,2646
119450,2646
238973,2646
695,2647
26726,2647
26728,2647
26739,2647
67046,2647
1201400,2647
12466,2648
26726,2648
26728,2648
26778,2648
26784,2648
26785,2648
26786,2648
69637,2648
126852,2648
579216,2648
1201408,2648
21911,4108
1337,4588
1065282,4961
18897,5174
1339,5175
10885,5175
18897,5175
1341,6038
18897,6038
57609,6972
20519,7346
25251,7346
52575,7346
1147123,7346
1336,7549
52908,7549
54615,8341
55674,8393
20999,8435
18897,8584
120725,8584
18897,8697
70690,8697
20519,8943
25251,8943
111298,8943
227782,8943
1337,9048
25245,9048
26785,9048
56804,9048
65974,9048
68557,9048
1135394,9048
25245,9050
25249,9050
56804,9050
56816,9050
65974,9050
68557,9050
69637,9050
134704,9050
229302,9050
52908,9053
1338,9056
18897,9056
44922,9056
56830,9056
96546,9056
118745,9056
119454,9056
1254216,9056
1277930,9056
56861,9060
18897,9404
44922,9404
70690,9404
120419,9404
20999,9449
1619,9455
1336,9460
57831,9460
66717,9460
130561,9460
226620,9460
551869,9460
1619923,9460
695,9461
18897,9461
57609,9461
62410,9461
119454,9461
1173757,9461
25251,9470
57607,9470
57609,9470
65975,9470
78878,9470
83635,9470
118745,9470
119426,9470
545277,9470
576408,9470
1136808,9470
1173200,9470
1173216,9470
1173223,9470
1173224,9470
1287732,9470
1676386,9470
65975,9471
18897,9502
1339,9550
25246,9550
20519,9581
25246,9581
25251,9581
52575,9581
70591,9594
12470,9696
1336,10027
20999,10034
18897,10044
26724,10044
57609,10044
62410,10044
