person_id,movie_id
1596465,269731
1338,269732
119447,269732
227778,269732
554183,269732
1265959,269732
1319279,269732
1415225,269732
67222,269733
111298,269733
146624,269733
213438,269733
238973,269733
548045,269733
26778,269736
64662,269781
1163362,269781
25245,269784
26786,269784
103598,269784
111298,269784
26724,269788
26785,269788
26786,269788
109301,269788
556800,269788
25245,269790
26724,269790
62417,269790
68557,269790
239010,269790
567303,269790
571521,269790
1183229,269790
44922,269791
83489,269791
83560,269791
126852,269791
548610,269791
44917,269794
83358,269794
83560,269794
213438,269794
21902,270034
62420,270034
66122,270034
111298,270034
121709,270034
146624,270034
227778,270034
1191058,270034
83358,270098
240177,270098
554183,270098
26729,270466
26744,270466
99689,270724
18897,270774
26724,270774
72731,270913
83630,270913
109301,270913
26724,271193
110845,271193
1173757,271193
25251,271220
127436,271220
237235,271220
1195450,271220
1395247,271220
118745,271237
1595682,271237
121394,271273
1337,271291
57831,271291
62417,271291
64662,271291
64895,271291
87944,271291
111298,271291
240161,271291
551869,271291
552084,271291
67224,271347
118350,271347
1135398,271347
64496,271504
105421,271504
21910,271537
26724,271537
148884,271537
21914,271564
57609,271564
105421,271564
64496,271614
83693,271614
26724,271617
119447,271632
122816,271632
588144,271632
1134731,271632
52575,271643
118350,271643
944021,271643
579216,272128
26739,272131
229302,272131
227804,272456
26739,272621
56861,272621
57831,273197
77303,273429
64895,273595
1338,273845
12466,273845
25246,273845
66717,273845
72731,273845
83358,273845
119447,273845
567303,273845
592329,273845
66717,273889
83631,273889
94076,273889
1407528,273889
1624725,273889
21908,274236
62417,274236
25246,274669
66717,274669
122816,274669
224925,274669
227804,274669
994641,274669
1166375,274669
64662,274790
67224,274790
70437,274790
78877,274790
83693,274790
119447,274790
231909,274790
592329,274790
1134734,274790
1183229,274790
26726,274813
26744,274813
26760,274813
67689,274813
83358,274813
96889,274813
119447,274813
240177,274813
18897,274862
64895,274883
83631,274883
99687,275579
88495,275623
238973,275623
1173757,275623
1329775,275623
